language,Your language is,i will make any telegram bot for $20 - @jolygmanka,get this message,what this bot can?,source code on github,flip coin,translate something,hide advanced menu,flip a coin,tails,heads,write /t {source language} {what language to translate into} {text to translate},examples:,example:,translate error,error translating
afrikaans,Jou taal is afrikaans,Ek sal enige telegram-bot vir $ 20 maak - @jolygmanka,kry hierdie boodskap,wat hierdie bot kan?,bronkode op github,flip muntstuk,iets vertaal,versteek gevorderde menu,draai 'n muntstuk om,sterte,voorkant van muntstuk,skryf /t {brontaal} {in watter taal om te vertaal} {teks om te vertaal},voorbeelde:,voorbeeld:,vertaalfout,fout met vertaling
albanian,Gjuha juaj është shqipja,do të bëj çdo bot telegram për 20 dollarë - @jolygmanka,merrni këtë mesazh,çfarë mund të ketë ky bot?,kodi burimor në github,flip monedhë,përkthe diçka,fsheh menunë e përparuar,rrokullisje një monedhë,bishtat,përpara monedhës,shkruaj /t {gjuha burimore} {në cilën gjuhë të përkthehet} {tekst për tu përkthyer},shembuj:,shembull:,gabim i përkthimit,gabim në përkthimin
amharic,የእርስዎ ቋንቋ አማርኛ ነው,ማንኛውንም የቴሌግራም ቦት በ 20 ዶላር አደርጋለሁ - @jolygmanka,ይህንን መልእክት ያግኙ,ይህ ቦት ምን ይችላል?,ምንጭ ኮድ በ github ላይ,ተገልብጦ ሳንቲም,አንድ ነገር መተርጎም,የላቀ ምናሌን ደብቅ,አንድ ሳንቲም ይግለጡ,ጅራቶች,የሳንቲም ፊት,ፃፍ /t {ምንጭ ቋንቋ} {ወደ የትኛው ቋንቋ መተርጎም} {ለመተርጎም ጽሑፍ},ምሳሌዎች,ለምሳሌ:,የትርጉም ስህተት,መተርጎም ስህተት
arabic,لغتك عربية,سأصنع أي بوت برقية مقابل 20 دولارًا -jolygmanka,احصل على هذه الرسالة,ما يمكن لهذا الروبوت؟,كود المصدر على جيثب,الوجه العملة,ترجمة شيء ما,إخفاء القائمة المتقدمة,اقلب قطعة نقود,ذيول,أمام العملة,اكتب /t {لغة المصدر} {أي لغة تترجم إليها} {نص للترجمة},أمثلة:,مثال:,ترجمة الخطأ,خطأ في الترجمة
armenian,Ձեր լեզուն հայերենն է,Ես պատրաստելու եմ ցանկացած հեռագիր բոտ $ 20-ով - @jolygmanka,ստացեք այս հաղորդագրությունը,ինչ կարող է այս բոտը,աղբյուրի կոդը github- ում,մատով խփել,ինչ-որ բան թարգմանել,թաքցնել առաջադեմ ընտրացանկը,շրջել մի մետաղադրամ,պոչեր,մետաղադրամի դիմաց,գրել /t {աղբյուրի լեզուն} {ինչ լեզու թարգմանել} {տեքստ թարգմանելու համար},օրինակներ.,օրինակ:,թարգմանել սխալ,թարգմանության սխալ
azerbaijani,Diliniz azerbaycan dilidir,20 dollar üçün hər hansı bir telegram botu edəcəyəm - @jolygmanka,bu mesajı al,bu bot nə edə bilər?,github-da mənbə kodu,flip sikkə,bir şey tərcümə et,inkişaf etmiş menyunu gizlədin,bir sikkə çevir,quyruqlar,sikkənin ön hissəsi,yaz /t {mənbə dili} {hansı dilə tərcümə ediləcək} {tərcümə etmək üçün mətn},nümunələr:,misal:,tərcümə xətası,tərcümədə səhv
basque,Tu lengua es vasca,haré cualquier bot de telegrama por $ 20 - @jolygmanka,recibe este mensaje,¿Qué puede este bot?,código fuente en github,lanzar moneda,traducir algo,ocultar el menú avanzado,lanza una moneda,cruz,anverso de la moneda,escribir /t {lenguaje fuente} {a que idioma traducir} {texto para traducir},ejemplos:,ejemplo:,traducir error,error al traducir
belarusian,Ваш язык белорусский,сделаю любого телеграмм-бота за 20 долларов - @jolygmanka,получить это сообщение,что может этот бот?,исходный код на github,подбросить монету,перевести что-нибудь,скрыть расширенное меню,подбрось монетку,решка,орел,написать /t {исходный язык} {на какой язык перевести} {текст для перевода},Примеры:,пример:,перевести ошибку,ошибка перевода
bengali,আপনার ভাষা বেঙ্গালি,আমি 20 ডলারে যেকোন টেলিগ্রাম বট তৈরি করব - @ জোলিগমানকা,এই বার্তা পেতে,এই বট কি করতে পারে?,গিথুব এ সোর্স কোড,ফ্লিপ মুদ্রা,কিছু অনুবাদ,উন্নত মেনু লুকান hide,একটি মুদ্রা টুসকি,লেজ,মুদ্রার সামনে,লিখুন /t {উৎস ভাষা} {কোন ভাষায় অনুবাদ করতে হবে} {অনুবাদ করতে পাঠ্য},উদাহরণ:,উদাহরণ:,অনুবাদ ত্রুটি,অনুবাদ করতে ত্রুটি
bosnian,Vaš jezik je bosanski,Napravit ću bilo kojeg telegramskog bota za 20 dolara - @jolygmanka,primite ovu poruku,šta ovaj bot može?,izvorni kod na githubu,flip coin,prevesti nešto,sakrij napredni meni,baci novčić,repovi,prednja strana novčića,pisati /t {izvorni jezik} {na koji jezik prevesti} {tekst za prevod},primjeri:,primjer:,prevedi grešku,greška pri prevođenju
bulgarian,Вашият език е български,ще направя всеки телеграм бот за $ 20 - @jolygmanka,получи това съобщение,какво може този бот?,изходен код на github,флип монета,преведете нещо,скриване на разширеното меню,обърнете монета,опашки,отпред на монета,пиши /t {изходен език} {на какъв език да се превежда} {текст за превод},примери:,пример:,грешка при превод,грешка при превода
catalan,La vostra llengua és el català,faré qualsevol bot de telegrama per 20 dòlars - @jolygmanka,rep aquest missatge,què pot fer aquest robot?,codi font a github,tirar moneda,traduir alguna cosa,amaga el menú avançat,llençar una moneda,cues,part davantera de la moneda,escriure /t {idioma d'origen} {a quin idioma traduir} {text per traduir},exemples:,exemple:,error de traducció,error de traducció
cebuano,Ang imong sinultian cebuano,maghimo ako bisan unsang bot sa telegram sa $ 20 - @jolygmanka,kuhaa kini nga mensahe,unsa ang mahimo niining bot?,source code sa github,flip coin,gihubad ang usa ka butang,itago ang advanced menu,i-flip ang usa ka sensilyo,mga ikog,atubangan sa sensilyo,pagsulat /t {sinultian nga gigikanan} {unsa nga sinultian ang hubaron sa} {teksto aron hubaron},mga pananglitan:,pananglitan:,sayup nga paghubad,sayup nga paghubad
chichewa,Chinenero chanu ndi chichewa,Ndipanga bot ya telegalamu iliyonse $ 20 - @jolygmanka,pezani uthengawu,Kodi bot iyi ingatani?,Nambala yoyambira pa github,pepala pepala,tanthauzirani kena kake,bisani mapulogalamu apamwamba,tsekani ndalama,michira,patsogolo pa ndalama,lembani /t {chilankhulo} {chilankhulo chanji choti mutanthauzire} {mawu omasulira},zitsanzo:,Mwachitsanzo:,tanthauzirani cholakwika,kutanthauzira kolakwika
chinese,你的语言是中文,我会以 20 美元的价格制作任何电报机器人 - @jolygmanka,收到这条消息,这个机器人能做什么？,github上的源代码,抛硬币,翻译一些东西,隐藏高级菜单,抛硬币,尾巴,硬币正面,写 /t {源语言} {翻译成什么语言} {要翻译的文本},例子：,例子：,翻译错误,错误翻译
chinese (simplified),你的语言是中文（简体）,我会以 20 美元的价格制作任何电报机器人 - @jolygmanka,收到这条消息,这个机器人能做什么？,github上的源代码,抛硬币,翻译一些东西,隐藏高级菜单,抛硬币,尾巴,硬币正面,写 /t {源语言} {翻译成什么语言} {要翻译的文本},例子：,例子：,翻译错误,错误翻译
chinese (traditional),你的語言是中文（繁體）,我會以 20 美元的價格製作任何電報機器人 - @jolygmanka,收到這條消息,這個機器人能做什麼？,github上的源代碼,拋硬幣,翻譯一些東西,隱藏高級菜單,拋硬幣,尾巴,硬幣正面,寫 /t {源語言} {翻譯成什麼語言} {要翻譯的文本},例子：,例子：,翻譯錯誤,錯誤翻譯
corsican,A vostra lingua hè corsa,faraghju qualsiasi bot di telegramma per $ 20 - @jolygmanka,riceve stu missaghju,chì pò fà stu bot?,codice surghjente in github,flip coin,traduce qualcosa,nasconde menu avanzatu,lancia una muneta,code,fronte di a muneta,scrive /t {lingua surghjente} {in chì lingua traduce} {testu da traduce},esempi:,esempiu:,errore di traduzzione,errore di traduzzione
croatian,Vaš jezik je hrvatski,napravit ću bilo kojeg telegramskog bota za 20 dolara - @jolygmanka,primite ovu poruku,što ovaj bot može?,izvorni kod na githubu,flip novčić,prevesti nešto,sakrij napredni izbornik,baciti novčić,repovi,prednja strana novčića,pisati /t {izvorni jezik} {na koji jezik prevesti} {tekst za prijevod},primjeri:,primjer:,prevesti greška,pogreška u prijevodu
czech,Váš jazyk je čeština,Vyrobím jakýkoli telegramový robot za 20 $ - @jolygmanka,dostat tuto zprávu,co může tento robot?,zdrojový kód na github,flip coin,něco přeložit,skrýt pokročilé menu,hodit si mincí,ocasy,přední část mince,napsat /t {zdrojový jazyk} {do jakého jazyka přeložit} {text k překladu},příklady:,příklad:,přeložit chybu,chyba při překladu
danish,Dit sprog er dansk,Jeg laver enhver telegram-bot for $ 20 - @jolygmanka,få denne besked,hvad denne bot kan?,kildekode på github,flip mønt,oversætte noget,skjul avanceret menu,plat eller krone,tails,foran mønt,skrive /t {kildesprog} {hvilket sprog man skal oversætte til} {tekst til oversættelse},eksempler:,eksempel:,oversæt fejl,fejl ved oversættelse
dutch,Uw taal is nederlands,ik zal elke telegrambot maken voor $ 20 - @jolygmanka,krijg dit bericht,wat kan deze bot?,broncode op github,munt opgooien,iets vertalen,verberg geavanceerd menu,een munt opgooien,tails,voorkant van munt,schrijven /t {brontaal} {naar welke taal vertalen?} {tekst om te vertalen},voorbeelden:,voorbeeld:,vertaalfout,fout bij het vertalen
